"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 09 11:31:26 CST 2020","Wed Dec 09 11:31:26 CST 2020","0","Unit","test_div","","","","test_div_int[10-5-2]",""
"passed","Wed Dec 09 11:31:26 CST 2020","Wed Dec 09 11:31:26 CST 2020","0","Unit","test_fixture","","","","test_one",""
"passed","Wed Dec 09 11:31:26 CST 2020","Wed Dec 09 11:31:26 CST 2020","1","Unit","test_div","","","","test_div_type",""
"passed","Wed Dec 09 11:31:26 CST 2020","Wed Dec 09 11:31:26 CST 2020","0","Unit","test_div","","","","test_div_zero","
    对于除零异常的报错处理
    "
"passed","Wed Dec 09 11:31:26 CST 2020","Wed Dec 09 11:31:26 CST 2020","0","Unit","test_div","","","","test_div_int[1000000-1-1000000]",""
"passed","Wed Dec 09 11:31:26 CST 2020","Wed Dec 09 11:31:26 CST 2020","0","Unit","test_demo2","TestDemo","","","test_sum",""
"passed","Wed Dec 09 11:31:26 CST 2020","Wed Dec 09 11:31:26 CST 2020","1","Unit","test_fixture","TestCase","","","test_three",""
"failed","Wed Dec 09 11:31:26 CST 2020","Wed Dec 09 11:31:26 CST 2020","0","Unit","test_fixture","TestCase","","","test_four",""
"passed","Wed Dec 09 11:31:26 CST 2020","Wed Dec 09 11:31:26 CST 2020","0","Unit","test_div","","","","test_div_expection",""
"failed","Wed Dec 09 11:31:26 CST 2020","Wed Dec 09 11:31:26 CST 2020","0","Unit","test_fixture","","","","test_two",""
"passed","Wed Dec 09 11:31:26 CST 2020","Wed Dec 09 11:31:26 CST 2020","0","Unit","test_div","","","","test_div_int[10-2-5]",""
"failed","Wed Dec 09 11:31:26 CST 2020","Wed Dec 09 11:31:26 CST 2020","1","Unit","test_div","","","","test_div_float",""
"passed","Wed Dec 09 11:31:26 CST 2020","Wed Dec 09 11:31:26 CST 2020","2","Unit","test_demo2","TestDemo","","","test_demo",""
"failed","Wed Dec 09 11:31:26 CST 2020","Wed Dec 09 11:31:26 CST 2020","1","Unit","test_pytest","","","","test_answer",""
